w_bin,q2_bin,w,q2,xs_bosted,xs_keppel
67,3,2.38025e+00,2.32500e+00,5.75986e-03,4.41327e-03
68,3,2.39875e+00,2.32500e+00,5.54874e-03,4.34804e-03
69,3,2.41725e+00,2.32500e+00,5.33808e-03,4.27877e-03
70,3,2.43575e+00,2.32500e+00,5.12808e-03,4.20557e-03
71,3,2.45425e+00,2.32500e+00,4.91896e-03,4.12849e-03
72,3,2.47275e+00,2.32500e+00,4.71091e-03,4.04763e-03
73,3,2.49125e+00,2.32500e+00,4.50415e-03,3.96306e-03
74,3,2.50975e+00,2.32500e+00,4.29886e-03,3.87486e-03
75,3,2.52825e+00,2.32500e+00,4.09524e-03,3.78310e-03
76,3,2.54675e+00,2.32500e+00,3.89347e-03,3.68788e-03
77,3,2.56525e+00,2.32500e+00,3.69373e-03,3.58926e-03
78,3,2.58375e+00,2.32500e+00,3.49620e-03,3.48732e-03
79,3,2.60225e+00,2.32500e+00,3.30101e-03,3.38214e-03
80,3,2.62075e+00,2.32500e+00,3.10833e-03,3.27377e-03
81,3,2.63925e+00,2.32500e+00,2.91829e-03,3.16230e-03
82,3,2.65775e+00,2.32500e+00,2.73101e-03,3.04779e-03
83,3,2.67625e+00,2.32500e+00,2.54661e-03,2.93029e-03
84,3,2.69475e+00,2.32500e+00,2.36520e-03,2.80988e-03
85,3,2.71325e+00,2.32500e+00,2.18687e-03,2.68659e-03
86,3,2.73175e+00,2.32500e+00,2.01171e-03,2.56049e-03
87,3,2.75025e+00,2.32500e+00,1.83978e-03,2.43162e-03
88,3,2.76875e+00,2.32500e+00,1.67117e-03,2.30003e-03
89,3,2.78725e+00,2.32500e+00,1.50591e-03,2.16575e-03
90,3,2.80575e+00,2.32500e+00,1.34407e-03,2.02881e-03
91,3,2.82425e+00,2.32500e+00,1.18567e-03,1.88925e-03
92,3,2.84275e+00,2.32500e+00,1.03076e-03,1.74708e-03
93,3,2.86125e+00,2.32500e+00,8.79341e-04,1.60233e-03
94,3,2.87975e+00,2.32500e+00,7.31446e-04,1.45499e-03
95,3,2.89825e+00,2.32500e+00,5.87077e-04,1.30508e-03
96,3,2.91675e+00,2.32500e+00,4.46238e-04,1.15258e-03
97,3,2.93525e+00,2.32500e+00,3.08924e-04,9.97428e-04
98,3,2.95375e+00,2.32500e+00,0.00000e+00,0.00000e+00
99,3,2.97225e+00,2.32500e+00,0.00000e+00,0.00000e+00
100,3,2.99075e+00,2.32500e+00,0.00000e+00,0.00000e+00
1,4,1.15925e+00,2.57500e+00,2.92460e-03,4.98610e-04
2,4,1.17775e+00,2.57500e+00,4.50075e-03,7.55845e-04
3,4,1.19625e+00,2.57500e+00,6.02368e-03,1.08342e-03
4,4,1.21475e+00,2.57500e+00,6.71101e-03,1.34457e-03
5,4,1.23325e+00,2.57500e+00,6.40499e-03,1.38882e-03
6,4,1.25175e+00,2.57500e+00,5.73530e-03,1.29033e-03
7,4,1.27025e+00,2.57500e+00,5.20036e-03,1.18516e-03
8,4,1.28875e+00,2.57500e+00,4.92620e-03,1.12159e-03
9,4,1.30725e+00,2.57500e+00,4.86727e-03,1.09928e-03
10,4,1.32575e+00,2.57500e+00,4.94070e-03,1.10839e-03
11,4,1.34425e+00,2.57500e+00,5.07556e-03,1.14072e-03
12,4,1.36275e+00,2.57500e+00,5.23110e-03,1.19124e-03
13,4,1.38125e+00,2.57500e+00,5.40182e-03,1.25773e-03
14,4,1.39975e+00,2.57500e+00,5.61449e-03,1.34083e-03
15,4,1.41825e+00,2.57500e+00,5.92606e-03,1.44495e-03
16,4,1.43675e+00,2.57500e+00,6.43323e-03,1.58093e-03
17,4,1.45525e+00,2.57500e+00,7.29239e-03,1.77091e-03
18,4,1.47375e+00,2.57500e+00,8.65602e-03,2.04740e-03
19,4,1.49225e+00,2.57500e+00,1.00871e-02,2.38633e-03
20,4,1.51075e+00,2.57500e+00,1.01157e-02,2.54818e-03
21,4,1.52925e+00,2.57500e+00,8.91642e-03,2.42937e-03
22,4,1.54775e+00,2.57500e+00,7.89186e-03,2.29026e-03
23,4,1.56625e+00,2.57500e+00,7.35444e-03,2.23404e-03
24,4,1.58475e+00,2.57500e+00,7.17187e-03,2.24296e-03
25,4,1.60325e+00,2.57500e+00,7.23746e-03,2.29508e-03
26,4,1.62175e+00,2.57500e+00,7.51687e-03,2.38183e-03
27,4,1.64025e+00,2.57500e+00,8.02605e-03,2.50659e-03
28,4,1.65875e+00,2.57500e+00,8.78000e-03,2.68187e-03
29,4,1.67725e+00,2.57500e+00,9.62180e-03,2.90930e-03
30,4,1.69575e+00,2.57500e+00,9.97177e-03,3.10603e-03
31,4,1.71425e+00,2.57500e+00,9.48626e-03,3.12736e-03
32,4,1.73275e+00,2.57500e+00,8.75184e-03,3.03333e-03
33,4,1.75125e+00,2.57500e+00,8.21831e-03,2.95786e-03
34,4,1.76975e+00,2.57500e+00,7.90995e-03,2.92876e-03
35,4,1.78825e+00,2.57500e+00,7.74727e-03,2.93225e-03
36,4,1.80675e+00,2.57500e+00,7.66573e-03,2.95454e-03
37,4,1.82525e+00,2.57500e+00,7.62412e-03,2.98706e-03
38,4,1.84375e+00,2.57500e+00,7.59636e-03,3.02490e-03
39,4,1.86225e+00,2.57500e+00,7.56545e-03,3.06515e-03
40,4,1.88075e+00,2.57500e+00,7.52052e-03,3.10605e-03
41,4,1.89925e+00,2.57500e+00,7.45559e-03,3.14648e-03
42,4,1.91775e+00,2.57500e+00,7.36893e-03,3.18568e-03
43,4,1.93625e+00,2.57500e+00,7.26218e-03,3.22315e-03
44,4,1.95475e+00,2.57500e+00,7.13927e-03,3.25852e-03
45,4,1.97325e+00,2.57500e+00,7.00501e-03,3.29150e-03
46,4,1.99175e+00,2.57500e+00,6.86401e-03,3.32191e-03
47,4,2.01025e+00,2.57500e+00,6.72000e-03,3.34957e-03
48,4,2.02875e+00,2.57500e+00,6.57556e-03,3.37438e-03
49,4,2.04725e+00,2.57500e+00,6.43221e-03,3.39623e-03
